player_id,archetype,seasons_entered,seasons_skipped,avg_rejoin_delay,cumulative_global_stars,cumulative_participation_bonus,cumulative_placement_bonus,lock_in_count,natural_expiry_count,avg_final_rank
1,Casual,1,7,0,844,0,0,1,0,5
2,Casual,5,3,0,3115,0,0,5,0,8.4
3,Casual,2,6,2,1076,0,0,2,0,10
4,Regular,4,4,1,6767,0,0,4,0,5.5
5,Regular,3,5,2,3065,0,0,3,0,8.6667
6,Regular,3,5,0.5,4752,0,0,3,0,3.6667
7,Hardcore,4,4,1.3333,1677,56,0,3,1,8
8,Hardcore,3,5,1.5,836,112,0,1,2,12
9,Hardcore,3,5,1.5,1475,56,0,2,1,10
10,Hoarder,3,5,1.5,5945,0,0,3,0,1.6667
11,Hoarder,4,4,0.6667,6718,0,0,4,0,3.5
12,Hoarder,1,7,0,1335,0,0,1,0,5
13,"Early Locker",4,4,1,3388,0,0,4,0,7.75
14,"Early Locker",6,2,0.2,5224,0,0,6,0,6.3333
15,"Early Locker",5,3,0.5,3170,0,0,5,0,9
16,"Late Deployer",4,4,1,4074,0,0,4,0,9
17,"Late Deployer",4,4,1.3333,4235,0,0,4,0,5.25
18,"Late Deployer",3,5,2,6797,0,0,3,0,4.3333
19,Boost-Focused,2,6,2,405,56,0,1,1,15.5
20,Boost-Focused,3,5,1.5,6341,56,0,2,1,10.3333
21,Boost-Focused,3,5,1,780,0,0,3,0,7.6667
22,Star-Focused,3,5,1,2376,0,0,3,0,8.3333
23,Star-Focused,4,4,1,6425,0,0,4,0,2
24,Star-Focused,2,6,4,4388,0,0,2,0,4
25,"Aggressive Sigil User",3,5,1.5,775,56,0,2,1,11
26,"Aggressive Sigil User",3,5,2.5,2552,56,0,2,1,11
27,"Aggressive Sigil User",4,4,1,5502,0,0,4,0,5
28,"Mostly Idle",3,5,2,1589,0,0,3,0,11.3333
29,"Mostly Idle",1,7,0,2124,0,0,1,0,3
30,"Mostly Idle",1,7,0,760,0,0,1,0,6
